id,cliente_id,valor,data,intervalo
227,2,-2.0,2019-11-28 16:58:24-03:00,0 days 00:00:19
228,2,-2.0,2019-11-28 16:58:44-03:00,0 days 00:00:20
232,2,-2.0,2019-11-30 11:38:49-03:00,0 days 00:00:35
245,2,-2.0,2019-12-03 16:48:51-03:00,0 days 00:00:20
246,2,-2.0,2019-12-03 16:49:08-03:00,0 days 00:00:17
247,2,-2.0,2019-12-03 16:49:40-03:00,0 days 00:00:32
250,2,-2.0,2019-12-03 22:21:54-03:00,0 days 00:01:56
251,2,-2.0,2019-12-03 22:23:02-03:00,0 days 00:01:08
252,2,-2.0,2019-12-03 22:23:20-03:00,0 days 00:00:18
255,2,-2.0,2019-12-04 06:28:49-03:00,0 days 00:01:18
393,2,-2.0,2020-01-20 10:45:19-03:00,0 days 00:00:41
394,2,-2.0,2020-01-20 10:46:59-03:00,0 days 00:01:40
1619,2,-1.0,2020-11-26 12:31:58-03:00,0 days 00:00:42
1623,2,-1.0,2020-11-26 13:13:14-03:00,0 days 00:00:21
1892,2,-1.0,2020-12-03 20:52:22-03:00,0 days 00:00:31
48,4,-3.0,2019-09-19 17:32:22-03:00,0 days 00:00:19
51,4,-3.0,2019-09-23 07:42:06-03:00,0 days 00:01:54
57,4,-800.0,2019-09-23 19:46:31-03:00,0 days 00:01:41
322,4,-3.0,2019-12-11 12:50:43-03:00,0 days 00:01:57
323,4,-3.0,2019-12-11 12:51:23-03:00,0 days 00:00:40
510,4,-3.0,2020-03-09 09:50:09-03:00,0 days 00:00:40
514,4,-3.0,2020-03-16 11:11:56-03:00,0 days 00:01:03
516,4,-3.0,2020-03-19 13:09:48-03:00,0 days 00:01:31
527,4,-3.0,2020-03-24 10:12:03-03:00,0 days 00:00:47
536,4,-15.0,2020-05-04 23:16:29-03:00,0 days 00:01:08
669,4,-5.0,2020-06-28 12:36:28-03:00,0 days 00:01:54
754,4,-3.0,2020-08-08 18:04:53-03:00,0 days 00:00:40
757,4,-5.0,2020-08-16 14:01:48-03:00,0 days 00:00:41
758,4,-5.0,2020-08-16 14:02:53-03:00,0 days 00:01:05
783,4,-5.0,2020-08-18 10:17:12-03:00,0 days 00:00:36
784,4,-10.0,2020-08-18 10:17:55-03:00,0 days 00:00:43
797,4,-50.0,2020-08-18 22:18:14-03:00,0 days 00:00:18
814,4,-5.0,2020-08-19 16:10:28-03:00,0 days 00:00:25
815,4,-5.0,2020-08-19 16:10:52-03:00,0 days 00:00:24
816,4,-20.0,2020-08-19 16:11:16-03:00,0 days 00:00:24
827,4,-5.0,2020-08-21 18:18:22-03:00,0 days 00:01:47
837,4,-50.0,2020-08-23 22:16:16-03:00,0 days 00:00:37
838,4,-50.0,2020-08-23 22:16:38-03:00,0 days 00:00:22
839,4,-50.0,2020-08-23 22:16:56-03:00,0 days 00:00:18
840,4,-50.0,2020-08-23 22:17:16-03:00,0 days 00:00:20
841,4,-50.0,2020-08-23 22:18:07-03:00,0 days 00:00:51
861,4,-25.0,2020-08-26 21:58:17-03:00,0 days 00:01:04
862,4,-25.0,2020-08-26 21:59:06-03:00,0 days 00:00:49
